listing_id,suburb,property_type,bedrooms,floor_size_m2,list_date,sold_date,list_price,sold_price,status
L102094,Sandton,House,4.0,,2023-02-15,2023-04-30,R 7 889 000.00,R 7 434 000.00,Sold
L101612,Rooihuiskraal,Apartment,1.0,72.0,2023-12-26,2024-01-19,R 868 000.00,838000,Sold
L105858,Faerie Glen,Apartment,1.0,94.0,2025-02-28,2025-05-08,R 1 649 000,R 1 560 000,Sold
L104294,ROOIHUISKRAAL,House,5.0,362.0,2023-11-28,2024-02-02,R 4 566 000,R 4 445 000,Sold
L102571,Faerie Glen,Townhouse,2.0,158.0,2025-03-04,2025-05-01,2501000,R 2 452 000,Sold
L103781,Bryanston,House,2.0,161.0,2026-01-21,2026-01-26,4806000,"R4,524,000",Sold
L101005,Lynnwood,House,4.0,232.0,2023-10-22,2023-11-15,R 5 183 000,R 4 777 000,Sold
L104701,Lynnwood,House,2.0,173.0,2023-01-07,2023-03-02,"R3,974,000",R 3 934 000.00,Sold
L101817,Lynnwood,Apartment,1.0,72.0,2024-01-16,2024-02-25,R 1 348 000,R 1 319 000,Sold
L104403,Brooklyn,Apartment,2.0,93.0,2026-01-17,2026-02-09,2251000,R 2 182 000,Sold
L100681,Groenkloof,Townhouse,3.0,144.0,2024-06-28,2024-09-04,R 2 432 000,R 2 379 000,Sold
L105087,Lynnwood,Apartment,2.0,80.0,2025-12-05,2025-12-14,"R1,854,000","R1,820,000",Sold
L100604,SANDTON,Apartment,1.0,102.0,2026-04-21,2026-05-04,R 3 133 000.00,3098000,Sold
L103400,Waterkloof,Apartment,2.0,90.0,2023-03-06,2023-03-15,"R2,366,000",R 2 349 000.00,Sold
L101608,Lynnwood,House,2.0,157.0,2024-10-17,2024-11-30,"R3,481,000",3271000,Sold
L100167,Rooihuiskraal,House,3.0,158.0,2025-04-04,2025-04-16,"R2,839,000","R2,508,000",Sold
L103021,Centurion,Townhouse,4.0,220.0,2024-03-23,2024-06-22,R 4 414 000,"R4,320,000",Sold
L102986,Waterkloof,House,1.0,138.0,2026-03-21,2026-03-26,3521000,3337000,Sold
L101744,Centurion,Apartment,2.0,95.0,2025-06-15,2025-08-05,R 1 982 000,"R1,926,000",Sold
L105446,Bryanston,Apartment,2.0,115.0,2025-12-02,2026-01-06,3585000,R 3 494 000.00,Sold
L100811,Waterkloof,House,3.0,262.0,2025-06-01,2025-06-12,R 6 812 000,R 6 812 000,Sold
L105164,Centurion,Apartment,1.0,,2024-01-21,2024-02-16,R 2 444 000,2293000,Sold
L104762,Sandton,House,4.0,255.0,2025-09-09,2025-11-01,9897000,R 9 732 000,Sold
