listing_id,suburb,property_type,bedrooms,floor_size_m2,list_date,sold_date,status,list_price_zar,sold_price_zar
L103983,Brooklyn,Apartment,2,136.0,2023-01-01,2023-02-17,Sold,2624000.0,2390000.0
L103686,Menlo Park,Apartment,2,104.0,2023-01-01,2023-01-19,Sold,1999000.0,1975000.0
L102403,Bryanston,Apartment,2,76.0,2023-01-01,2023-01-20,Sold,1725000.0,1725000.0
L102506,Sandton,Apartment,3,169.0,2023-01-01,2023-02-09,Sold,5132000.0,5132000.0
L100981,Bryanston,Townhouse,3,213.0,2023-01-01,,Withdrawn,4926000.0,
L105546,Sandton,Apartment,1,52.0,2023-01-01,2023-02-10,Sold,1275000.0,1229000.0
L104823,Centurion,House,2,170.0,2023-01-02,2023-01-19,Sold,2952000.0,2814000.0
L101832,Lynnwood,House,2,148.0,2023-01-02,2023-02-02,Sold,3740000.0,3666000.0
L104092,Bryanston,House,5,350.0,2023-01-02,2023-02-14,Sold,8256000.0,8256000.0
L103838,Rooihuiskraal,Apartment,1,51.0,2023-01-02,2023-02-09,Sold,594000.0,573000.0
L102364,Centurion,Apartment,3,115.0,2023-01-02,2023-02-19,Sold,2302000.0,2201000.0
L101050,Centurion,Townhouse,3,222.0,2023-01-03,,Withdrawn,3486000.0,
L104513,Waterkloof Ridge,House,3,125.0,2023-01-03,,Withdrawn,3016000.0,
L105004,Waterkloof,Apartment,2,86.0,2023-01-03,2023-01-16,Sold,2104000.0,2004000.0
L101310,Lynnwood,House,5,328.0,2023-01-03,2023-01-24,Sold,6927000.0,6769000.0
L102131,Rooihuiskraal,Townhouse,3,191.0,2023-01-03,2023-02-28,Sold,2260000.0,2219000.0
L102800,Sandton,House,3,206.0,2023-01-04,2023-01-18,Sold,6105000.0,5833000.0
L105735,Sandton,Townhouse,3,250.0,2023-01-04,2023-01-31,Sold,6271000.0,5966000.0
L101587,Faerie Glen,Townhouse,1,163.0,2023-01-04,2023-03-17,Sold,2758000.0,2716000.0
L100835,Irene,House,1,135.0,2023-01-04,2023-02-20,Sold,2028000.0,1912000.0
