suburb,sales,median_sold_price,median_price_per_m2,median_ppm2_house,median_ppm2_apartment
Sandton,522,5758000.0,31214.0,32651.0,29970.0
Bryanston,483,4729000.0,27406.0,28118.0,26533.0
Waterkloof Ridge,331,4475000.0,27377.0,28227.0,26278.0
Waterkloof,474,4069000.0,25091.0,26312.0,23926.0
Brooklyn,492,3928500.0,21803.0,22089.0,21137.0
Menlo Park,400,3464000.0,21078.0,21795.0,20271.0
Lynnwood,493,3742000.0,20613.0,21257.0,19241.0
Groenkloof,401,3550000.0,20056.0,20622.0,19138.0
Irene,372,3101500.0,18568.0,19192.0,17490.0
Centurion,617,3362000.0,18091.0,18581.0,16765.0
Faerie Glen,417,3126000.0,16805.0,17098.0,16200.0
Rooihuiskraal,319,2508000.0,14343.0,14711.0,13851.0
