suburb,price_band,sales,median_days_on_market,median_discount_pct
Brooklyn,1. Under R1.5m,44,30.5,2.2
Brooklyn,2. R1.5m - R3m,136,35.0,2.0
Brooklyn,3. R3m - R5m,158,28.0,2.5
Brooklyn,4. R5m+,175,28.0,1.7
Bryanston,1. Under R1.5m,19,40.0,2.3
Bryanston,2. R1.5m - R3m,125,36.0,2.4
Bryanston,3. R3m - R5m,118,34.0,2.6
Bryanston,4. R5m+,236,35.0,2.1
Centurion,1. Under R1.5m,109,37.0,2.8
Centurion,2. R1.5m - R3m,175,34.0,2.8
Centurion,3. R3m - R5m,202,37.0,2.2
Centurion,4. R5m+,152,36.5,2.4
Faerie Glen,1. Under R1.5m,87,37.0,3.7
Faerie Glen,2. R1.5m - R3m,116,42.5,3.7
Faerie Glen,3. R3m - R5m,148,40.0,3.0
Faerie Glen,4. R5m+,87,38.0,3.8
Groenkloof,1. Under R1.5m,56,34.0,3.4
Groenkloof,2. R1.5m - R3m,111,36.0,2.9
Groenkloof,3. R3m - R5m,120,40.0,2.4
Groenkloof,4. R5m+,131,33.0,3.1
Irene,1. Under R1.5m,73,36.0,3.3
Irene,2. R1.5m - R3m,110,44.0,3.2
Irene,3. R3m - R5m,103,43.0,3.1
Irene,4. R5m+,102,35.0,3.1
Lynnwood,1. Under R1.5m,60,33.0,2.8
Lynnwood,2. R1.5m - R3m,135,34.0,2.2
Lynnwood,3. R3m - R5m,170,35.0,2.5
Lynnwood,4. R5m+,141,35.0,2.3
Menlo Park,1. Under R1.5m,46,42.0,1.8
Menlo Park,2. R1.5m - R3m,137,29.0,2.1
Menlo Park,3. R3m - R5m,111,32.0,2.5
Menlo Park,4. R5m+,120,35.0,2.0
Rooihuiskraal,1. Under R1.5m,90,39.5,4.2
Rooihuiskraal,2. R1.5m - R3m,109,46.0,3.7
Rooihuiskraal,3. R3m - R5m,100,42.5,3.7
Rooihuiskraal,4. R5m+,32,43.0,4.3
Sandton,2. R1.5m - R3m,114,36.0,3.1
Sandton,3. R3m - R5m,112,36.5,2.4
Sandton,4. R5m+,299,39.0,2.6
Waterkloof,1. Under R1.5m,28,33.5,3.1
Waterkloof,2. R1.5m - R3m,141,33.0,1.5
Waterkloof,3. R3m - R5m,130,30.5,2.5
Waterkloof,4. R5m+,190,31.0,2.3
Waterkloof Ridge,2. R1.5m - R3m,101,35.0,2.8
Waterkloof Ridge,3. R3m - R5m,76,32.5,2.8
Waterkloof Ridge,4. R5m+,152,35.0,2.0
