sale_month,sales,median_ppm2,moving_avg_3m,yoy_change_pct
2023-05-01,134,19673.0,19673.0,
2023-06-01,141,20269.0,19971.0,
2023-07-01,137,20279.0,20074.0,
2023-08-01,132,19059.0,19869.0,
2023-09-01,135,19880.0,19739.0,
2023-10-01,149,19828.0,19589.0,
2023-11-01,109,19989.0,19899.0,
2023-12-01,150,20120.0,19979.0,
2024-01-01,127,19779.0,19962.0,
2024-02-01,127,19926.0,19942.0,
2024-03-01,139,20815.0,20174.0,
2024-04-01,130,20330.0,20357.0,
2024-05-01,131,21690.0,20945.0,10.3
2024-06-01,146,21508.0,21176.0,6.1
2024-07-01,132,21886.0,21695.0,7.9
2024-08-01,120,21153.0,21516.0,11.0
2024-09-01,133,20618.0,21219.0,3.7
2024-10-01,126,21173.0,20981.0,6.8
2024-11-01,135,20894.0,20895.0,4.5
2024-12-01,147,22069.0,21379.0,9.7
2025-01-01,131,21134.0,21366.0,6.8
2025-02-01,116,20481.0,21228.0,2.8
2025-03-01,158,21308.0,20974.0,2.4
2025-04-01,128,22373.0,21387.0,10.0
2025-05-01,143,21794.0,21825.0,0.5
2025-06-01,116,22692.0,22286.0,5.5
2025-07-01,113,22260.0,22249.0,1.7
2025-08-01,150,23033.0,22661.0,8.9
2025-09-01,142,22245.0,22513.0,7.9
2025-10-01,114,23344.0,22874.0,10.3
2025-11-01,145,22600.0,22730.0,8.2
2025-12-01,146,24064.0,23336.0,9.0
2026-01-01,145,22255.0,22973.0,5.3
2026-02-01,126,21435.0,22584.0,4.7
2026-03-01,141,23301.0,22330.0,9.4
2026-04-01,129,23919.0,22885.0,6.9
